spec_id,representation,distance,normalization,call_filtering,pairing,aggregation,estimator,data_inclusion,outcome_restriction,effect,ci_low,ci_high,p,q,direction,n_tasks,main_observation_retained,family
S0084,tool_name,weighted_edit,max,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.11341039686926016,0.06956689813632708,0.1602580928157852,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0085,tool_name,weighted_edit,mean,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.13928521570326294,0.07581927936065852,0.20816657602392213,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0086,tool_name,weighted_edit,mean,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.13924982283983248,0.07700756304926426,0.20744024533370403,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0087,tool_name,weighted_edit,mean,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.14124433000274858,0.07718384006823811,0.2061208628715733,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0088,tool_name,weighted_edit,mean,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.1395019266453005,0.07852627007936099,0.20370587359006853,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0089,tool_name,weighted_edit,mean,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.15414981563138141,0.08486343762395672,0.22516283401235582,0.001110494169905608,0.0011933668691522954,positive,36,True,tool_name|all_valid
S0090,tool_name,weighted_edit,reference,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.2576309246237998,0.123980987729881,0.4212164682063138,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0091,tool_name,weighted_edit,reference,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.25317042728707695,0.12232758348199653,0.4230478536469095,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0092,tool_name,weighted_edit,reference,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.25835313629617485,0.1278638365464491,0.43001429582749634,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0093,tool_name,weighted_edit,reference,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.2578026307009675,0.12502436220116295,0.41902697255715265,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0094,tool_name,weighted_edit,reference,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.32579680662697985,0.17205283502488602,0.5081331403831335,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0095,tool_name,weighted_edit,none,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,1.0343827160493824,0.514091049382716,1.5738271604938268,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0096,tool_name,weighted_edit,none,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.9911419753086417,0.5601766975308642,1.4785524691358025,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0097,tool_name,weighted_edit,none,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,1.0714197530864196,0.5919768518518519,1.5524799382716041,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0098,tool_name,weighted_edit,none,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,1.036825571100933,0.5340291435170662,1.5454830265793429,0.001110494169905608,0.0011933668691522954,positive,36,True,tool_name|all_valid
S0099,tool_name,weighted_edit,none,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.8801234567901234,0.5119151234567901,1.2633302469135799,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0100,tool_name,argument_aware,max,all_calls,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.11184566472826932,0.07658877800934286,0.1524502076715991,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0101,tool_name,argument_aware,max,remove_exact_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.11134677173226147,0.07560232925242887,0.15076327743520168,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0102,tool_name,argument_aware,max,collapse_consecutive_duplicates,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.11309320528381638,0.07730855224928697,0.15281001852659326,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0103,tool_name,argument_aware,max,exclude_reorder_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.11174957502395363,0.07437246918291224,0.1477748804555534,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
S0104,tool_name,argument_aware,max,effective_calls_only,ALL_VALID_PAIRS,task,mean,all_valid,ALL,0.10434344235995742,0.06782600099710147,0.1438207660481405,0.000555247084952804,0.0006892722433896878,positive,36,True,tool_name|all_valid
